nta2020,permit_count
BK0101,79
BK0102,121
BK0103,19
BK0104,92
BK0201,14
BK0202,67
BK0203,34
BK0204,37
BK0301,134
BK0302,98
BK0401,58
BK0402,60
BK0501,21
BK0502,27
BK0503,26
BK0504,78
BK0505,8
BK0601,100
BK0602,41
BK0701,9
BK0702,81
BK0703,27
BK0801,26
BK0802,59
BK0901,14
BK0902,16
BK1001,38
BK1002,21
BK1101,31
BK1102,18
BK1103,19
BK1201,30
BK1202,83
BK1203,15
BK1204,46
BK1301,11
BK1302,74
BK1303,16
BK1391,1
BK1401,25
BK1402,13
BK1403,28
BK1501,69
BK1502,14
BK1503,46
BK1601,38
BK1602,49
BK1701,36
BK1702,19
BK1703,7
BK1704,6
BK1801,14
BK1802,37
BK1803,17
BK1892,1
BK1893,4
BX0101,31
BX0102,29
BX0201,28
BX0202,26
BX0301,20
BX0302,4
BX0303,18
BX0401,29
BX0402,9
BX0403,15
BX0501,16
BX0502,27
BX0503,7
BX0601,8
BX0602,30
BX0603,31
BX0701,14
BX0702,42
BX0703,12
BX0801,17
BX0802,8
BX0803,32
BX0901,19
BX0902,36
BX0903,18
BX0904,9
BX1001,5
BX1002,24
BX1003,16
BX1004,3
BX1101,17
BX1102,14
BX1103,14
BX1104,28
BX1161,3
BX1201,50
BX1202,15
BX1203,36
BX2691,6
BX2791,4
MN0101,32
MN0102,51
MN0191,1
MN0201,76
MN0202,27
MN0203,43
MN0301,17
MN0302,62
MN0303,37
MN0401,73
MN0402,28
MN0501,62
MN0502,67
MN0601,1
MN0602,11
MN0603,13
MN0604,10
MN0701,13
MN0702,45
MN0703,5
MN0801,29
MN0802,68
MN0803,11
MN0901,14
MN0902,7
MN0903,21
MN1001,39
MN1002,40
MN1101,18
MN1102,34
MN1201,12
MN1202,18
MN1203,15
MN1292,1
QN0101,25
QN0102,40
QN0103,45
QN0104,22
QN0105,41
QN0161,12
QN0171,6
QN0201,37
QN0202,19
QN0203,31
QN0261,1
QN0301,8
QN0302,18
QN0303,12
QN0401,63
QN0402,21
QN0501,28
QN0502,19
QN0503,6
QN0504,21
QN0601,25
QN0602,26
QN0701,40
QN0702,27
QN0703,10
QN0704,32
QN0705,11
QN0706,6
QN0707,63
QN0801,14
QN0802,7
QN0803,17
QN0804,43
QN0805,16
QN0901,11
QN0902,16
QN0903,14
QN0904,9
QN0905,11
QN1001,33
QN1002,3
QN1003,8
QN1101,31
QN1102,32
QN1103,34
QN1104,14
QN1201,70
QN1202,16
QN1203,26
QN1204,6
QN1205,19
QN1206,19
QN1301,15
QN1302,15
QN1303,20
QN1304,6
QN1305,7
QN1306,3
QN1307,14
QN1401,89
QN1402,33
QN1403,23
QN8191,1
SI0101,22
SI0102,12
SI0103,24
SI0104,49
SI0105,10
SI0106,20
SI0107,20
SI0201,43
SI0202,33
SI0203,16
SI0204,18
SI0301,12
SI0302,11
SI0303,4
SI0304,59
SI0305,39
SI0391,4
